bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Keila Urzaiz de Calignon,Artesian Bar (London),Florecita,40ml of Gin,20ml of Verjus,10ml of Campari,20ml of St Germain,NA,NA,NA,NA,NA
Keltoum Arrachidi,Le Mary Celeste (Paris),Manhattan with Rum,20ml of cocchi vermouth di Torino,50ml of plantation jamaica rum,2 dashes of peychaud bitters,1 zest of grapefruit,NA,NA,NA,NA,NA
Keltoum Arrachidi,Le Mary Celeste (Paris),Beetroot Fields Forever,25ml of Amaro Lucano,25ml of nut wine,10ml of capillary syrup,20ml of lemon,1 pinch of grows beet germinated,NA,NA,NA,NA
Krzysiek Brzostowski,Woda Ognista (Warsaw),The Puritan,40ml of Beefeater Gin,20ml of Martini Extra Dry Vermouth,3.5ml of Yellow Chartreuse,1 dash of Orange Bitters,NA,NA,NA,NA,NA
Krzysiek Brzostowski,Woda Ognista (Warsaw),Japanese Fashion,5ml of Laphroaig 10,3.5ml of Orgeat Syrup,2 dashes of Angostura Bitters,2 dashes of Orange Bitters,A Spray of  Laphroaig,NA,NA,NA,NA
Ladislav Piljar (Lad),Red Bar (London),Rising Sun,30ml of Hakushu 12 years old,20ml of umeshu Akashi-Tai,15ml of green tea home made syrup,1 dash of grapefruit bitter,25ml of lemon juice,Egg white,Garnish with Angustura bitter,NA,NA
Leonardo Giorgini,Monna Lisa Caffe (Ostuni),Hemingway Daiquiri,60 ml of tequila Don Julio,30 ml of grapefruit juice,15 ml of lime juice,"20 ml of homemade shrub with mango, ginger and pinkpepper",NA,NA,NA,NA,NA
Leonardo Giorgini,Monna Lisa Caffe (Ostuni),Italian 23,40 ml of cedar water Nardini,25 ml of grapefruit juice,15 ml of sugar,Top with Prosecco,NA,NA,NA,NA,NA
Liana Oster,Dante (New York),Garibaldi,45ml of Campari,1 fresh Orange Juice,NA,NA,NA,NA,NA,NA,NA
Liana Oster,Dante (New York),Rosolio Spritz,25ml of Italicus,15ml of Tequila,15ml of Simple Syrup,22.5 ml of Lemon Juice,1 barspoon of Vanilla Yoghurt,Top with Prosecco,NA,NA,NA
Lilian Sausset,Papa Doble Montpelliers),À la Louisiane,30ml of Rye Whisky,30ml of Punt e Mes,30ml of Benedictine,3 dashes of Absinthe,3 dashes of Red Aromatic Bitters,NA,NA,NA,NA
Lilian Sausset,Papa Doble Montpelliers),Zebra,50ml of Disaronno Amaretto,20ml of Fresh Lime Juice,30ml of Apricot and Mint Shrub,3 dashes of Absinthe,1 Egg White,NA,NA,NA,NA
Louis Lebaillif,Little Red Door (Paris),Biomimetics,5ml of Kirsch,10ml of Cherry Blossom Cordial,15ml of Cherry Stalk Infusion,30ml of Vodka infused with Cherry Wood,NA,NA,NA,NA,NA
Louis Lebaillif,Little Red Door (Paris),Pelo del Perro ,25ml of Cap Corse Mattei,25ml of Merlet Melon cream,2dashes of Laphroaig whisky,1 dash of Absinthe,1 dash of Saline solution,NA,NA,NA,NA
Luca Milano,Silk & Grain (London),Moscow mule,50 ml of barrel aged vodka,15ml of lime juice,2dashes of whisky barrel,Top with ginger beer,NA,NA,NA,NA,NA
Luca Milano,Silk & Grain (London),Apple and pepper Sour,45ml of gin,20ml of manzana verde,20ml of lemon juice,20ml of apple juice,Egg white,5ml of orgeat,Top with black pepper,NA,NA
Lucass Maraton,Sherrybutt (Paris),Hanky Panky twisted with cognac,40ml cognac,15ml sweet vermouth,15ml byrrh,Barspoon fernet branca,Barspoon cacao luxardo,Twist of lime,NA,NA,NA
Lucass Maraton,Sherrybutt (Paris),Haitian Burns,Barspoon bénédictine,20ml vermouth del professor,Dash of Bobs orange and mandarin bitter,30ml clairin sajou (Rum),10ml whisky Islay,Twist lime,NA,NA,NA
Manolis Lykiardopoulos,Odori Vermuteria (Athens),Sazerac,30ml of Bulleit Rye Whiskey,30ml of Cognac VSOP,10ml of Dry Vermouth Syrup,2 dashes of Angostura bitters,4 dashes of Ouzo,NA,NA,NA,NA
Manolis Lykiardopoulos,Odori Vermuteria (Athens),1.618 punch,60ml of Tequila Don Julio Reposado,"50ml of Sage, Pineapple and Lime Oleo-saccharum",3 dashes of Creole bitters,2 dashes of Angostura bitters,50ml of Three Cents Ginger beer,NA,NA,NA,NA
Marcio Silva,Ghuilhotina (Sao Paulo),Carrasco,60ml of Havana Club 7 Rum (infused with Brazilian Masala),25ml of Lime Juice,20ml Canana (Cachaca with Banana Liqueur),20ml Masala Syrup,5 dashes of Angostura Bitters,NA,NA,NA,NA
Marcio Silva,Ghuilhotina (Sao Paulo),I am Dark and She is a Storm,50ml of Havana Club 7 Rum,A spray of Balsam Wood Cachaça,5ml of Fresh Ginger Juice,25ml of Molasses with Spices,25ml of Fresh Lime Juice,Top with Soda Water,NA,NA,NA
Marcis Dzelzainis,Sager + Wilde (London),Cardinale,35ml of Gin,25ml Campari,15ml of Dry Vermouth,NA,NA,NA,NA,NA,NA
Marcis Dzelzainis,Sager + Wilde (London),Tahona,10ml of Roasted Pineapple Shrub,25ml of Lemon Juice,20ml of Caramel Agave ,NA,NA,NA,NA,NA,NA
Marco Tagliabue,Creps al Born (Barcelona),Chat Noir (Boulevardier twist),40ml of Bulleit Rye whiskey,25ml of Dubonnet rouge,30ml of Campari,4 drops of tincture of truffle salt,1 dash of angustura bitters,NA,NA,NA,NA
Margot Lecarpentier,Combat (Paris),London Calling,50ml of Fino Sherry,15ml of Lemon Juice,15ml of Simple Syrup,40ml of Cognac,2 dashes of Orange Bitters,NA,NA,NA,NA
Margot Lecarpentier,Combat (Paris),Martin Ricky,1barspoon of Elderflower Vinegar,10ml of Benedictine,20ml of Dolin Dry Vermouth,30ml of Calvados Christian Drouin Sélection,NA,NA,NA,NA,NA
Mario Farulla,Baccano (Rome),Baccano Martini,60ml Star of Bombay Gin or Grey Goose Ducasse Vodka,1 spray of Martini Dry Vermouth,NA,NA,NA,NA,NA,NA,NA
Mario Farulla,Baccano (Rome),The Perfect Negroni,30ml of Martini Bitter,45ml of Martini Reserva Vermouth,30ml of Star of Bombay Gin,3 drops of Saline Solution,1 spray of Origami Essence,1 spray of Bay Leaf Essence,NA,NA,NA
Martin Siska,Dry Martini (London),Boulevardier,35 ml of Whistlepig Rye whiskey,25ml of Belsazar dry vermouth,30ml of Aperol,2drops of tonka bean droplets,NA,NA,NA,NA,NA
Martin Siska,Dry Martini (London),Year of the lady,50ml of Hennessy Cognac,10ml of pear Williams eau de vie,20ml of lemon juice,10ml of vanilla syrup,10ml of cinamon syrup,1 egg white,NA,NA,NA
Mathieu Le Feuvrier,The Peninsula Hotel (Paris),Mathy’s Margarita,50ml of tequilla Avion Blanco,30ml of lime,20ml of agava syrup,20 ml of green chartreuse,2 tea spoon of herbs de provence,Garnish romarin lavande,NA,NA,NA
Mathieu Le Feuvrier,The Peninsula Hotel (Paris),Bolber,40ml of Bacardi Heritage,20ml of Martini bitter,2 barspoons of sugar cane,3 tea spoons herbs de provence,4 quarters of lime,Top with ginger ale,NA,NA,NA
Matteo di Ienno,Locale (Florence),Negroni Timido,30ml of Tanqueray Gin,30ml of Belsazar White Vermouth,30ml of Luxardo Bitter,10g of Hibiscus Flower,NA,NA,NA,NA,NA
Matteo di Ienno,Locale (Florence),Api Del Giambologna,45ml of Mathusalem Ron Gran Reserva 15,"30ml of Tiki Sauce (Grilled Pineapple, Honey, Raspberry, Rice Milk and Turmeric)",45ml of Fermented Pineapple Skin with Jamaïcain Pepper,15ml of Nettle and Orange Liqueur,1/2 Lime Twist,Foam of Bee Pollen,NA,NA,NA
Matthew Long,Lulu White (Paris),Mark Scott.com,30ml of red dolin,30ml of cold brewed coffee,15ml of tequila Calle 23,1.25ml of Absinthe,1.25ml of Rose water,NA,NA,NA,NA
Mauricio de la Vega,La Suerte del Coyote (Tulum),Margarita,30ml of  Mezcal Ocho Coyote Espadin Agave,15ml of Triple Sec,30ml Simple Syrup,135ml of Fresh Lime Juice,NA,NA,NA,NA,NA
Mauricio de la Vega,La Suerte del Coyote (Tulum),Culichi,6 pieces of Fresh Pineapple,1 sprig of Rosemary,30ml of Simple Syrup,45 ml of Mezcal Reposado Coyotito (steeped  in raisin and pineapple for 1 month),45ml of Lime Juice,NA,NA,NA,NA
Max Vennings,Three Sheets (London),Shiso Miso,50ml of Nikka All Malt Fat Washed with Shiso Leaves and White Miso Paste,10ml of Sugar Syrup,6 dashes of Angostura Bitters,NA,NA,NA,NA,NA,NA
Max Vennings,Three Sheets (London),French 75,108g of Star of Bombay Gin,30g of Lemon Juice,50g of Sugar Syrup,95g of Minus 8 Verjus,180g of Dry Moscato,1g of Orange Flower Water,300g of Water,NA,NA
Maxime Potfer,Experimental Cocktail Club (Paris),Adonis,40ml of Antica Formula,40ml of Oloroso Sherry,2 dashes of Scrappy’s Orange Bitters,NA,NA,NA,NA,NA,NA
Maxime Potfer,Experimental Cocktail Club (Paris),Le meilleur,30ml of Verjus,30ml of Fino Sherry,15ml of Sugar Syrup,15ml of Pierre Ferrand 1840 Cognac,NA,NA,NA,NA,NA
Mia Seo,Uncle Ming’s (Sydney),Old fashioned,60ml of japanese whisky,4 dashes of Orange bitter,A dash of soda,A cube of sugar,NA,NA,NA,NA,NA
Mia Seo,Uncle Ming’s (Sydney),Lemon soju,60ml of fresh lemon,90ml of japanese soshu,30ml of lemongrass syrup,10ml of lime,Top with sodas,NA,NA,NA,NA
Michael Mas,Le Mary Celeste (Paris),Artiste Special,15ml of grenadine,15ml of lemon juice,30ml of amontillado,30ml of Scotch whisky,NA,NA,NA,NA,NA
Michael Shone,Salon 39 (Copenhagen),El Presidente,45ml of White Rum,45ml of Dry Vermouth,1 bar spoon of Orange Curacao,2 drops of Grenadine,1 dash of Orange Bitters,NA,NA,NA,NA
Michael Shone,Salon 39 (Copenhagen),Leek-alise it,45ml of Malted Genever,45ml of Leek and Lime cordial,Top with Soda,NA,NA,NA,NA,NA,NA
Mido Ahmed Yahi,Café Moderne (Paris),Jockin’ Jay Z,30ml of Tanqueray Gin infused with Bergamot,25ml of Campari infused with Bergamot,15ml of Fino Sherry,10ml of Suze D’Autre Fois,Top with Grapefruit Juice Soda,NA,NA,NA,NA
Mido Ahmed Yahi,Café Moderne (Paris),French Palenque,25ml of Mezcal Vida del Maguey,15ml of Rum Zacappa 23,20ml of Plantation Jamaican Rum,2 dashes of Spanish Bitters,3 dashes of Angustura,2 dashes of Café Moderne Bitters,2 dashes of Orange,Foam of Rinquinquin and St Germain,NA
Mimi Lorandova,Red Bar (London),French 75 twist,25ml of lemon sorbet,15ml of cocchi americano,Top with champagne,1 dash of angustura bitter,NA,NA,NA,NA,NA
Mimi Lorandova,Red Bar (London),Heart’s desire,35ml of Nikka all malt,15ml of lemon juice,20ml of rasperry sirup,35ml of oriental rose tea,NA,NA,NA,NA,NA
Mitsuhiro Nakamura,The Peninsula (Tokyo),Gargoyle,45ml of Ryoma Japanese Rum,10ml of Snake Liqueur,5ml of Simple Syrup,5ml of Smoked Japanese Tea Bitters,4 dashes of  Jerry Thomas Bitters,NA,NA,NA,NA
Mitsuhiro Nakamura,The Peninsula (Tokyo),Double R,45ml of Nikka Coffey Grain Whisky,30ml of Matcha Tea,10ml of Passion Fruit Syrup,5ml of Simple Syrup,5ml of Lemon juice,NA,NA,NA,NA
Moe Aljaff,Two Schmucks (Barcelona),Daiquiri,65ml of White Rum,22.5ml of Lime,2 teaspoons of Sugar,NA,NA,NA,NA,NA,NA
Moe Aljaff,Two Schmucks (Barcelona),The Indiano,45ml of White Rum,10ml of Pedro Ximenez Sherry,5ml of Fernet Branca Menta,22.5ml of Coconut Water,35ml of Cold Brew Coffee,1 dash of Salt Solution,90ml of Tonic,NA,NA
Natalie Lau,The Old Man (Hong Kong),Corpse Reviver N°2,Glass rinsed with Absinthe,20ml of Gin,20ml of Lemon,20ml of Cointreau,20ml of Cocchi Americano,NA,NA,NA,NA
Natalie Lau,The Old Man (Hong Kong),The Snows of Kilimanjaro,30ml of Gin infused with Marshmallow,30ml of Macro-Fermented Raspberry,20ml of Lemon,1 Egg White,Grated Gruyere,NA,NA,NA,NA
Nathan Shearer,Callooh Callay (London),Remember the Maine,40ml of Rye whisky,20ml of cocchi Torino,10ml of sherry herring,5ml of absinthe,3 dashes of angustura bitters,NA,NA,NA,NA
Nathan Shearer,Callooh Callay (London),To coin a fraise,30ml of gin,30ml of chamberyzette,15ml of lemon,15ml of sugar,15ml of St Germain,2 dashes of orange bitters,1 dash of bokers bitter,NA,NA
Nazareth Rodriguez,JubJub at Calloh Callay (London),Naked and Famous,20ml of Lime,20ml of Aperol,20ml of Yellow Chartreuse,20ml of Mezcal Marca Negra Dobadan,NA,NA,NA,NA,NA
Nazareth Rodriguez,JubJub at Calloh Callay (London),Jesuze,40ml of Tapatio Reposado Tequila,20ml of Suze,10ml of Velvet Falernum,2 Dashes of Peychaud Bitters,5 Dashes of Citric Acid,NA,NA,NA,NA
Nicolas Blanchard,L’heure du Singe (Toulouse),Toronto-Marseille,45ml of Rye Whiskey Lot 40,10ml of Elixir Suedois Ferroni,2 barspoons of Rapadura liqueur,NA,NA,NA,NA,NA,NA
Nicolas Blanchard,L’heure du Singe (Toulouse),Le Baobab Connoisseur,10ml of Velvet Rum Fire,40ml of a Mix of Brugal and Smith & Cross Aged in a Barrel,1 Egg White,15ml of Baobab Syrup,2 Dashes of Angostura bitters,NA,NA,NA,NA
Nicolas Cruz,Botanero (Paris),Stay a little,30ml of Sercial Madeira 10 years,30ml of Nardini Amaro,15ml of Vecchio Piemonteze Amaro,NA,NA,NA,NA,NA,NA
Nicolas Cruz,Botanero (Paris),Du Colonel,20ml of Lemon Juice,20ml of Peanut Orgeat,30ml of Dolin White Vermouth,20ml of Matured Pastis,Egg white,5 dashes of Angostura bitters,NA,NA,NA
Nicolas Goradesky,Bisou (Paris),Paul Sesame,45ml of Dewar’s 12 Years Old Whisky,15ml of Noilly Prat,15ml of Amontillado Sherry,10ml of Cap Corse,2 dashes of Angostura Bitters,2 drops of Sesame Oil,NA,NA,NA
Nicolas Goradesky,Bisou (Paris),Fabrice Zucchini,45ml of Plantation 3 Star Rum,20ml of Riserva Ambrato Martini,10ml of Fino Sherry,10ml of Acid Solution,25ml of Zucchini Fresh Juice,15ml of Tonic Cumin Syrup,NA,NA,NA
Nicolas Margeot,Carry Nation (Marseille),Ramos gin fizz,15ml of Lemon Juice,15ml of Lime Juice,50ml of Juillet Gin,30ml of Simple Syrup,3 dashes of Orange Flower,20ml of Cream,20ml of Egg White,Top with Perrier,NA
Nicolas Margeot,Carry Nation (Marseille),Ange tu seras,30ml of Maple Syrup,20ml of Lime Juice,4 Mint Leaves,25ml of 1919 Angostura Rum,30ml of Angostura Bitter,NA,NA,NA,NA
Nicolas Munoz,NA,Tommy’s Margarita,50ml of tequila,15ml of cointreau,5ml of sugar,20ml of lime,NA,NA,NA,NA,NA
Nicolas Munoz,NA,Capri c’est fini,50ml of rum plantation 3 stars,4 cherry tomatoes,2 basil leaves,1/2 barspoon of balsamic vinegar,20ml of sugar,20ml  of lemon,NA,NA,NA
Nikolas Zoylinos,Trailer Happiness (London),Toreador,45ml of Mezcal Illegal,25ml of apricot liqueur,25ml of lime,5ml of agave,1 dash of Peychaud bitters,NA,NA,NA,NA
Nikolas Zoylinos,Trailer Happiness (London),Trailer colada,20ml of Rum,20ml of overproof rum,20ml of 1800 coconut tequila,25ml of fresh pineapple juice,15ml coconut cream,10ml of pomegranate molasses,NA,NA,NA
Noel Vennings,Three Sheets (London),Shiso Miso,50ml of Nikka All Malt Fat Washed with Shiso Leaves and White Miso Paste,10ml of Sugar Syrup,6 dashes of Angostura Bitters,NA,NA,NA,NA,NA,NA
Noel Vennings,Three Sheets (London),French 75,108g of Star of Bombay Gin,30g of Lemon Juice,50g of Sugar Syrup,95g of Minus 8 Verjus,180g of Dry Moscato,1g of Orange Flower Water,300g of Water,NA,NA
Oliver Kritzler,Milk & Honey (London),Adonis,4 dashes of Orange Bitters,40ml of Sweet Vermouth,40ml of Amontillado Sherry,NA,NA,NA,NA,NA,NA
Oliver Kritzler,Milk & Honey (London),The Choker,2 Dashes of Angostura bitters,2 Dashes of Absinthe,10ml of Simple Syrup,60ml of Glenmorangie Quinta Ruban whisky,NA,NA,NA,NA,NA
Paige Aubort,Lobo Plantation (Sydney),Hemingway daiquiri,15ml of white rum,10ml of Luxardo,30ml of grapefruite,20ml of lime,A dash of sugar,NA,NA,NA,NA
Paige Aubort,Lobo Plantation (Sydney),Old grogram,50ml of Spiced rum,30ml of home made stout vermouth,25ml of lemon,25ml of sugar,NA,NA,NA,NA,NA
Panos Kanatsoulis,The Clumsies (Athens),"Rum Martinez
45ml of ron Zacapa 23
20ml of Red Port Wine
15ml of Luxardo Maraschino
2 dashes of Chocolate Bitters",45ml of ron Zacapa 23,20ml of Red Port Wine,15ml of Luxardo Maraschino,2 dashes of Chocolate Bitters,NA,NA,NA,NA,NA
Panos Kanatsoulis,The Clumsies (Athens),Jenna Said,"45ml of Aphrodisiac Potion (Tomato Water, Olives, Rosemary…)",60ml of Olive Oil fat Washed Vodka,Chili Sweet and Spicy Powder on the rim,NA,NA,NA,NA,NA,NA
Patrick Pistolesi,Drink Kong (Rome),Perfect Manhattan,50ml of Nikka Coffey Grain Whisky,15ml of Noilly Prat Dry Vermouth,15ml of Antica Formula Carpano,Cap of Amer Picon,2 dashes of Angostura Bitters,2 dashes of Maraschino,NA,NA,NA
Patrick Pistolesi,Drink Kong (Rome),Bowie,50ml of Merlet Eau de Vigne,15ml of Italicus,15ml of Merlet Trois Citrus,20ml of Homemade Citric Solution,7.5ml of Sugar,2 dashes of Grapefruit Bitters,Coral Crusta with Blue Curaçao,Grapefruit Zest,NA
Patrick Thomas,Vintage Cocktail Club (Dublin),Irish Manhattan,60ml of Redbreast 12 years,30ml of Cynar,5ml of ruby port,2 dashes of celery bitters,2 dashes of angostura bitters,NA,NA,NA,NA
Patrick Thomas,Vintage Cocktail Club (Dublin),Smokey Select,50ml of Woodford reserve,20ml of Campari,20ml of Rasperry syrup,3 dashes of peychaud bitter,1 pinch of Maldon smokey sea salt,Twist of orange,NA,NA,NA
Paul Carpentier,Danico (Paris),Martinez,45ml of Gin Tanqueray Ten,20ml of Punt e mes,20ml of Cocchi Vermouth Amaro,5ml of Luxardo Maraschino,2 dashes of orange bitter,NA,NA,NA,NA
Paul Carpentier,Danico (Paris),C’est sake bon,20ml of Pedro Jimenez,25ml of Sake Fukuju,40ml of Rittenhouse 100 proof Rye Whiskey,3 dashes of White Soy sauce,Sprays of Tabacco,NA,NA,NA,NA
Peter Chua,NA,Mezcal Negroni,20ml of Mina Real Blanco Mezcal,20ml of Mancino Vermouth,20ml of Rinomato Aperitivo,1 barspoon of Tempus Fugit Creme de Cacao with Vanilla,NA,NA,NA,NA,NA
Peter Chua,NA,Diplo & Friends,30ml of Diplomatico Rum,15ml of Plantation Rum,30ml of Coconut Cream,"30ml of Fresh Passion Fruit, Vanilla and Cherry",20ml of Lime juice,7.5 ml of Homemade All Spiced Dram,NA,NA,NA
Pierre Marquet,Nami Cocktail Club (Paris),Gin fizz,20ml of Orange and Maracuja Syrup,20ml of Lime Juice,50ml of Gin Mare,Top with Hibiscus Soda,NA,NA,NA,NA,NA
Pierre Marquet,Nami Cocktail Club (Paris),Panela Sour,1 egg white,15ml of Mezcal,30ml of Tequila,15ml of Panela Syrup,15ml of Lemon Juice,15ml of Grapefruit,"Smoked with Orange Zest, Cinnamon Stick, Sesame and Laurel",NA,NA
Pierre Massin,The Barber Shop (Sydney),Bijou,30ml of gin,30ml of red vermouth,30ml of green chartreuse,2 dashes of orange bitters,NA,NA,NA,NA,NA
Pierre Massin,The Barber Shop (Sydney),Razor Blade Rattlesnake,50ml of Rye whiskey,20ml of fenel seed honey syrup,30ml of lemon juice,1 dash of angustura bitters,1 egg white,NA,NA,NA,NA
Pierre-Marie Bisson,Basement Sate (London),Vieux carré,25ml Antica formula,25ml Cognac,2 dashes of angostura bitter,2 dashes of peychaud bitter,Barspoon of benedictine,25ml of Machir bay (Kilchoman whisky),NA,NA,NA
Pierre-Marie Bisson,Basement Sate (London),Eagle in a tube,Barspoon on Fernet,Barspoon of sugar syrup,15ml of white port,15ml of lemon,40ml of gin,Splash ginger ale,Cucumber,NA,NA
Pietro Collina,The Nomad (New York),Diplomat,3 dashes of grapefruit bitters,Teaspoon of Maraschino,1.5 oz of Martini Ambrato Vermouth,1.5 oz of Noilly Prat Dry Vermouth,Grapefruit Twist,NA,NA,NA,NA
Pietro Collina,The Nomad (New York),Third Pedal,0.5 oz of Agave Syrup,0.5 oz of Lime Juice,0.5 oz of Grapefruit Juice,1 oz of Fino Sherry,0.5 oz of Salers,0.5 oz of Italicus,1 oz of Green Tea Yoghurt,1oz of Olive Oil Tequila,NA
Philip Bischoff,Manhattan (Singapore),The Manhattan,50ml of Mitchers straight Rye Whiskey,15ml of Mancino Rosso sweet Vermouth,10ml of house made Sherry Brandy,2 dashes of angustura bitters,NA,NA,NA,NA,NA
Philip Bischoff,Manhattan (Singapore),The Flat Iron,45ml of Lagavulin Whisky,20ml of Drambuie,2 dashes of Mozart chocolate bitters,NA,NA,NA,NA,NA,NA
Phan Hà,Polite & Co (Hanoi),Street Vendor,50ml of Gin infused with Chrysanthemum,15ml of Choya Yuzu,30ml of St Germain,40ml of Carambola Juice,5ml of Pandan Syrup,NA,NA,NA,NA
Quentin Beurgaud,Little Barrel (Geneva),Lavander Daiquiri,60ml of Havana 3 years rum,40ml of lime juice,2 barspoons of sugar and lavander,5 dashes of Ferdinand rose wine lavander,NA,NA,NA,NA,NA
Quentin Beurgaud,Little Barrel (Geneva),Mona Lisa,50ml of Bacardi Superior,20ml of Campari,30ml of pomelo pink,1/2 passion fruit,NA,NA,NA,NA,NA
Quynh Thai,Snuffbox (Ho Chi Minh),Sidecar,50ml of Martell Cognac,30ml of Cointreau,25ml of Lime Juice,5ml of Simple Syrup,NA,NA,NA,NA,NA
Quynh Thai,Snuffbox (Ho Chi Minh),Once for the Road,45ml of Macallan 12 years Sherry Oak Whisky,10ml of Suze for Bière,15ml of Lillet Blanc,15ml of Prucia,15ml of Elderflower Syrup,NA,NA,NA,NA
Rafa Martin,Brassclub (Palma de Mallorca),Bantha Milk Alexandra (Alexander twist),40ml of Wint citrus vodka,10ml of amaretto,20ml of cocoa,10ml of coco real,10ml of dry curacao,20ml of cream,NA,NA,NA
Rafa Martin,Brassclub (Palma de Mallorca),Expreso Hogwarts,40ml of Highland Park 12 years old,6-8 head of mints,10ml of palo tunel de Mallorca,1 dash of Angustura bitters,1/2 lime,"20ml of homemade Falernum (honey, ginger, lime, mixed spices)",Top with ginger beer,NA,NA
Razvan Chipara,The Cambridge Public House (Paris),De la Louisiane,2 dashes of Peychaud Bitters,2.5 ml of Absinthe,12.5ml of Benedictine,25ml of Red Dolin Vermouth,40ml of Rittenhouse 100 proof Rye Whiskey,NA,NA,NA,NA
Razvan Chipara,The Cambridge Public House (Paris),Big in Japan,30ml of Citadelle Gin infused with Shitake,20ml of White Dolin Vermouth,20ml of Fino Sherry,10ml of Aquavit,NA,NA,NA,NA,NA
René Hedeland Larsen,Ruby (Copenhagen),Green Bees,60ml of Pisco,20ml of Lime Juice,20ml of Thyme Honey Syrup,2 leaves of Sorrel,NA,NA,NA,NA,NA
René Hedeland Larsen,Ruby (Copenhagen),Emerald Martini,15ml of Mancino Vermouth,10ml of Taffel Akavit,50ml of Dild Aquavit,Dashes of Parsley Oil,Top with Parsley Snow,NA,NA,NA,NA
Remy Savage,Little Red Door (Paris),Corpse Reviver n°1,20ml of Calvados,20ml of Cognac,45ml of home sweet vermouth,1 dash of salt,NA,NA,NA,NA,NA
Remy Savage,Little Red Door (Paris),Sainte Marie de la mer,30ml of gin,15ml of mertensia maritima,1.25 ml of clay syrup,1 dash salt,NA,NA,NA,NA,NA
Riccardo Marinelli,Jerry Thomas (Rome),Manhattan,45ml of Rye Whisky Single Barrel,45ml of Red Vermouth del Professor,2 dashes Angostura bitters,2 dashes Orange bitters,4 dashes Maraschino Liqueur,NA,NA,NA,NA
Riccardo Marinelli,Jerry Thomas (Rome),Negroni del Professor,45ml of Gin del Professor,25ml of Bitter del Professor,35ml of Red Vermouth del Professor,2 dashes of Bergamot Bitters,NA,NA,NA,NA,NA
Rhys Wilson,Happiness Forgets (London),Penicillin,45ml of blended scotch black bottle,10ml of peaty scotch Laphroaig ten years old,20ml of lemon juice,15ml of honey syrup,15ml of ginger juice,NA,NA,NA,NA
Rhys Wilson,Happiness Forgets (London),Jerezana,25ml of Manzanilla sherry,25ml of Amontillado sherry,12.5 ml of sweet vermouth,12.5 ml of dolin dry,10ml of vanilla syrup,6 dashes of orange bitters,NA,NA,NA
Riccardo Rossi,Frenie e Frizioni (Rome),Brooklyn,60ml of Bulleit Rye Whiskey,30ml of Noilly Prat Dry Vermouth,7.5ml of Picon Amer,7.5ml of Maraschino Liqueur,NA,NA,NA,NA,NA
Riccardo Rossi,Frenie e Frizioni (Rome),Martin Mystère,60ml of La Caravedo Pisco,30ml of Lime Juice,20ml of Camomille Syrup,15ml of Egg White,Float of Chicha Morada,NA,NA,NA,NA
Roberta Mariani,Bar Termini (London),Boulevardier,35ml of Bourbon,15ml  of Campari,15ml  of Martini rosso,Orange twist,NA,NA,NA,NA,NA
Roberta Mariani,Bar Termini (London),drie van drie,50ml of seaweed whisky,2.5ml of gomme syrup,3 dashes of homemade liquorice bitter,15ml of dry sherry,NA,NA,NA,NA,NA
Roberto Artusio,La Punta (Rome),Maria Sabina,45ml Vermouth infused with Barbecued Chestnut,1 Barspoon Agave Syrup,1 dash Chocolate Bitters,1 dash of Nut Bitters,NA,NA,NA,NA,NA
Roberto Artusio,La Punta (Rome),L’Imbriagon,15ml Burnt Wine Syrup,60ml of Mezcal,20ml of Water,1 dash Pimento Bitters,NA,NA,NA,NA,NA
Romain Briset,Gravity (Paris),Sazerac,Glass rinsed with Absinthe,1 barspoon of Sugar,3 dashes of Peychaud,60ml of Rye Rittenhouse 100 Proof,1 Lemon Twist,NA,NA,NA,NA
Romain Briset,Gravity (Paris),Fruit du Passé,10 ml of Egg White,20ml of Celery Syrup,25ml of Lemon Juice,25ml of Strega Liqueur,25ml of Dolin Genepi,Top with Soda,NA,NA,NA
Roman Shabodalov,Hawksmoor Spitalfields (London),Roman’s Gimlet,70ml of Navy Strength Plymouth Gin,15ml of Lime Cordial,NA,NA,NA,NA,NA,NA,NA
Roman Shabodalov,Hawksmoor Spitalfields (London),Taxcoco,40ml of Tequila Tapatio 110,15ml of Manzanilla Sherry,25ml of Lime Juice,15ml of Grapefruit Sherbet,5ml of Salt Solution,2 dashes of Absinthe,NA,NA,NA
Rory Shepherd,Little Red Door (Paris),Trident,25ml of Aquavit,25ml of Cynar,25ml of Amontillado Sherry,1 dash of Peach Bitters,NA,NA,NA,NA,NA
Rory Shepherd,Little Red Door (Paris),Strength,30ml of Gin,20ml of Sorrel Wine,5ml of Whisky Pine Tincture,30ml of Birch Water,NA,NA,NA,NA,NA
Rusty Cerven,The Gibson (London),Gibson Martini,60ml of Tanqueray Gin,5ml of Mancino Vermouth,1 Pickled Onion,NA,NA,NA,NA,NA,NA
Rusty Cerven,The Gibson (London),Electric Earl,45ml of Tanqueray Gin 10,10ml of Earl Grey Liqueur,2 dashes of Electric Bitters,1/4 Fresh Grapefruit,1 Lime,35ml of Tonic and Citrus Grass Cordial,NA,NA,NA
Sacha Molodskikh,Le Parfum (Montpellier),Ti Punch,4 Cloves,1/2 Lime,30ml of 3 Rivières Sugar,50ml of Clairin Casimir Rum,10ml of Creole Shrub,NA,NA,NA,NA
